,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
156,-1,-2,-1,1,1,1,-1,1,1,0,1,1,1,-1,-1,1,1,1,-1,1,1,0,0,1,1,0,0,2,1
157,1,2,1,1,-1,1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,0
158,2,2,1,1,0,1,2,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,-1,2,-1,0,0,3,0
159,2,2,2,2,2,1,1,1,2,0,0,1,1,1,1,1,1,0,0,-1,1,0,0,1,-2,-1,-1,0.5,0
160,0,2,1,1,-1,1,2,1,1,1,0,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0
161,2,1,2,2,1,0,-1,-1,0,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,0,0,0,1,1,-1
162,1,2,2,2,2,1,2,1,2,0,-1,1,1,-1,1,1,1,-1,1,1,-1,0,0,1,2,0,1,2,-1
163,-1,-1,2,1,1,1,-2,1,1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,0,0,1,1,0,-1,0.5,1
164,-1,2,1,-1,1,1,2,-1,0,0,0,1,1,-1,-1,1,1,1,1,1,1,0,0,-1,1,1,0,2,0
165,2,0,2,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,4,-1
166,2,1,1,1,1,1,-1,1,2,0,0,1,1,-1,0,1,1,1,1,1,1,0,0,-1,-1,-1,1,2,-1
167,1,1,2,1,-1,1,2,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,-1,-1,0,0,0
168,1,-1,1,2,1,1,2,-1,0,0,1,1,1,-1,-1,1,1,1,1,1,1,0,0,-2,1,1,0,1,1
169,2,1,2,2,2,1,-2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,2,2,0,0,0.5,-1
170,0,2,-2,2,-1,0,2,-1,0,0,-1,1,1,1,1,1,1,0,-1,-1,-1,0,0,-2,-2,0,-1,0,-1
171,-2,1,2,2,-2,-1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,0,0,1,-1,0,0,0,0
172,2,-1,2,1,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,0,0,2,-1,0,1,4,0
173,2,2,2,2,-1,1,-2,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-2,1,0,1,0,-1
174,-1,-1,2,2,-1,1,2,0,0,0,0,1,1,-1,1,1,1,-1,1,0,-1,0,0,-1,2,-1,0,2,0
175,-1,2,1,2,2,1,2,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,-2,0,1,2,-1
176,2,2,2,2,-1,1,2,1,2,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,2,-1,0,-1,0.5,-1
177,1,-2,1,2,1,0,2,-1,0,0,-1,0,1,-1,1,1,1,1,1,1,1,0,0,1,1,-1,0,1,-1
178,-1,1,2,2,-1,1,1,-1,0,0,0,1,1,1,-1,1,1,1,1,1,-1,0,0,-2,2,-1,0,0,0
179,2,2,0,-1,2,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,-1
180,1,-1,-1,-1,-1,1,2,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,0,1,-1,1,1,0,1,0.5,-1
181,1,-1,2,-1,-1,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.5,0
182,1,2,2,1,2,0,2,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,0,1,1,1
183,2,1,2,2,2,1,2,-1,0,0,-1,1,1,0,1,1,1,1,1,1,1,0,0,-2,2,0,1,2,-1
184,2,-2,2,2,-2,-1,2,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,0,0,-1,-1,-1,-1,0.5,0
185,-2,-1,2,2,1,1,2,1,2,0,-1,-1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,-1
186,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,0,0,2,-1
187,-2,1,1,2,-2,1,2,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,0,1,1,-1
188,1,2,-1,-2,2,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,-1,0,1,0,0
189,2,1,-1,1,2,1,2,1,2,0,-1,1,1,1,-1,1,1,1,1,1,0,0,0,2,1,0,1,3,-1
190,2,1,-2,2,1,1,-1,-1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,-2,-1,-1,1,2,0
191,1,1,2,2,0,-1,1,1,2,0,1,1,1,1,1,1,1,-1,-1,-1,-1,0,0,2,2,0,1,0.5,-1
192,2,2,2,2,1,1,1,1,2,0,1,1,-1,-1,1,1,1,-1,1,1,-1,0,0,-1,2,0,1,0.5,-1
193,2,1,2,1,1,1,1,1,2,0,-1,1,1,-1,1,1,1,1,1,-1,-1,0,0,2,2,-1,-1,0.5,0
194,1,2,1,2,1,1,2,1,2,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,1,0,1,5,-1
195,1,1,-2,1,1,1,1,-1,0,0,0,1,1,1,-1,1,1,1,-1,1,1,0,0,1,1,1,0,2,0
196,2,2,2,2,2,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,0,1,5,-1
197,-1,2,1,-2,2,1,-2,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,0,0,-1,1,0,1,0.5,1
198,1,1,1,-1,2,1,2,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-2,1,1,5,-1
