,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
729,-10,-10,10,-10,-10,-10,10,10,10,10,-10,-10,-10,0,10,-10,16,49.5,-8,45,-10,10
730,-10,10,10,10,8,-10,10,10,-10,10,10,10,0,10,-10,0,12,29.5,-10,20,-10,-8
731,0,-10,8,-10,-10,-10,10,10,-10,10,-10,-10,-10,0,-10,0,16,59.5,-8,62.5,-10,10
732,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,49.5,10,120,10,10
733,-10,10,10,-10,-10,8,10,0,10,10,10,10,0,10,10,10,13,49.5,0,120,10,10
734,0,10,10,-10,10,10,-10,10,10,10,-10,10,0,-10,10,-10,10,49.5,10,25,0,10
735,10,-10,10,10,10,8,-10,10,-10,10,-10,10,0,-10,10,10,12,21,-8,35,10,0
736,0,10,10,10,-10,8,-10,10,10,10,-10,10,0,10,10,-10,12,29.5,-10,20,0,0
737,10,10,10,10,8,10,10,10,10,10,0,10,0,10,10,10,14,59.5,8,20,10,5
738,-10,8,-8,10,-10,10,10,10,10,10,0,-10,0,0,10,10,13,29.5,0,0,-10,0
739,10,10,10,10,10,10,-10,10,10,10,-10,10,0,10,10,10,20,59.5,10,45,10,-10
740,-10,10,10,10,-10,10,-10,10,10,10,10,10,0,10,10,10,8,70,0,20,-10,10
741,10,10,10,10,-10,10,10,10,10,10,10,10,0,10,10,10,16,49.5,10,20,10,-10
742,0,-8,8,-10,-10,8,10,10,10,10,10,10,0,10,10,-10,14,39.5,-8,35,0,8
743,0,10,10,10,-10,10,0,0,0,0,-10,10,0,10,10,10,13,39.5,-10,0,10,10
744,0,10,10,10,-10,10,10,-10,0,10,-10,10,0,10,10,10,13,70,10,20,10,-10
745,-10,8,8,10,8,10,10,10,0,10,10,10,0,10,10,10,13,70,8,62.5,-10,10
746,0,10,10,10,10,10,10,10,10,10,-10,10,0,10,10,10,14,39.5,10,120,0,0
747,-10,8,10,10,8,10,10,10,-10,10,10,10,0,10,10,10,16,49.5,10,62.5,-10,-10
748,0,8,10,-10,-10,10,-10,10,10,10,0,10,0,-10,10,-10,8,29.5,0,20,-10,10
749,-10,-10,8,-10,-10,-10,10,10,0,10,-10,-10,-10,0,-10,0,16,70,-8,120,-10,10
750,0,8,10,-10,-10,10,10,10,10,10,10,-10,-10,0,10,10,20,49.5,-10,120,-10,10
751,10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,59.5,10,120,10,10
752,10,10,10,10,8,10,-10,10,10,10,-10,-10,10,0,10,-10,8,49.5,8,62.5,0,10
753,0,10,10,10,-10,10,10,10,10,10,0,10,0,10,-10,0,16,70,10,120,0,10
754,10,8,10,10,8,-10,10,10,-10,10,-10,10,0,-10,10,-10,12,39.5,-10,120,-10,10
755,0,8,8,10,10,10,-10,-10,-10,-10,-10,10,0,-10,10,10,12,29.5,0,20,0,0
756,0,-10,10,-10,-10,8,10,10,-10,-10,-10,-10,-10,0,10,10,12,21,-10,25,-10,10
757,-10,10,10,10,8,8,10,10,10,10,-10,10,0,10,10,10,20,29.5,8,62.5,0,0
758,0,-8,8,-10,-10,-8,10,10,10,10,-10,-10,-10,0,10,10,12,39.5,-10,62.5,-10,10
759,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,13,39.5,10,35,0,0
760,0,-8,8,-10,-10,8,10,10,10,10,-10,10,0,-10,-10,0,13,70,-10,62.5,-10,10
761,0,-10,8,-10,-10,-10,10,10,10,10,10,-10,-10,0,-10,0,20,70,-10,0,-10,10
762,0,-10,8,-10,-10,-10,10,10,10,10,-10,-10,-10,0,-10,0,14,59.5,-8,120,-10,10
763,-10,8,10,10,-10,10,-10,10,-10,10,-10,-10,10,0,10,10,16,70,8,25,10,-10
764,0,10,10,10,-10,10,0,0,0,0,-10,10,0,-10,10,-10,8,59.5,10,20,0,-10
765,-10,10,10,10,-10,10,10,-10,-10,10,0,10,0,10,10,10,12,49.5,-8,62.5,10,10
766,0,8,10,10,8,10,-10,-10,0,10,-10,-10,10,0,10,10,16,59.5,0,20,-10,-10
767,0,8,8,-10,-10,8,10,10,-10,10,10,10,0,10,10,-10,14,49.5,-8,62.5,0,10
768,10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,13,59.5,8,95,10,10
769,0,10,10,10,8,10,-10,-10,-10,-10,10,0,0,0,10,10,12,49.5,10,25,-10,-8
770,0,-8,10,10,8,10,0,10,10,10,0,10,0,10,10,10,20,39.5,-10,120,0,10
771,10,10,10,10,10,10,-10,10,10,10,-10,10,0,10,10,-10,13,29.5,10,20,0,0
772,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,14,29.5,8,62.5,10,8
773,10,10,10,10,10,10,-10,10,10,10,-10,10,0,-10,10,-10,20,21,-10,45,0,0
774,0,8,8,10,10,10,-10,0,10,10,0,10,0,10,10,-10,12,39.5,8,20,0,-10
775,10,10,10,10,-10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,0,0
